,Unnamed: 0,scale_input_data,num_bins,res_size,scale_res,alpha,scale_in,scale_b,scale_noise,exp_decay_rate,avg_train_acc,bin_train_acc,avg_test_acc,bin_test_acc
0,0.0,True,10.0,200.0,0.75,2.0,2.5,2.0,0.0,0.995,0.638592867961,"[ 0.63859287  0.59404746  0.59652577  0.56685025  0.57297719  0.55195741
  0.58782872  0.58292258  0.56683189  0.53837257]",0.365107913669,"[ 0.11211031  0.11937307  0.13843782  0.15039397  0.17661871  0.25537855
  0.30774238  0.35077081  0.3555841   0.35553272]"
1,1.0,True,10.0,200.0,0.76,2.0,2.5,2.0,0.0,0.995,0.648478590114,"[ 0.64847859  0.59531874  0.57673138  0.58043967  0.57300014  0.58535041
  0.56799302  0.57669466  0.56062233  0.53834504]",0.384172661871,"[ 0.12891401  0.14559781  0.15037684  0.1576396   0.22199383  0.26971566
  0.30059952  0.31971566  0.35560123  0.37697842]"
2,2.0,True,10.0,200.0,0.77,2.0,2.5,2.0,0.0,0.995,0.65095690486,"[ 0.6509569   0.59408417  0.57674056  0.58538253  0.57176557  0.58163752
  0.56675387  0.57669466  0.55938317  0.53834504]",0.386553614251,"[ 0.12653306  0.14321686  0.15037684  0.1576396   0.22199383  0.27209661
  0.30059952  0.32449469  0.35560123  0.37696129]"
3,3.0,True,10.0,200.0,0.78,2.0,2.5,2.0,0.0,0.995,0.649717747487,"[ 0.64971775  0.59655331  0.57303226  0.58414796  0.57176098  0.58534582
  0.56799302  0.57917298  0.56433063  0.53586672]",0.386553614251,"[ 0.12415211  0.14321686  0.15037684  0.1576396   0.2172148   0.27447756
  0.29821857  0.33165468  0.35560123  0.37456321]"
4,4.0,True,10.0,200.0,0.77,2.15,2.5,2.0,0.0,0.995,0.648478590114,"[ 0.64847859  0.59531874  0.57550599  0.5829134   0.57300014  0.58410666
  0.56675387  0.57669466  0.55814402  0.53586672]",0.386553614251,"[ 0.12653306  0.14559781  0.15037684  0.1576396   0.21959575  0.27209661
  0.30059952  0.32449469  0.35560123  0.37696129]"
5,5.0,True,10.0,200.0,0.77,2.5,2.5,2.0,0.0,0.995,0.644770296939,"[ 0.6447703   0.59160586  0.5755014   0.58415255  0.570531    0.58287668
  0.56798843  0.57545551  0.55938317  0.53338841]",0.388934566632,"[ 0.12653306  0.14559781  0.15037684  0.1576396   0.21959575  0.27447756
  0.3029976   0.32689277  0.35560123  0.37694416]"
6,6.0,True,10.0,200.0,0.77,2.8,2.5,2.0,0.0,0.995,0.644770296939,"[ 0.6447703   0.59160127  0.57302767  0.5829134   0.57300014  0.58163752
  0.56798843  0.57174262  0.55938317  0.53462756]",0.388934566632,"[ 0.12653306  0.14561494  0.15037684  0.1576396   0.21959575  0.27447756
  0.3029976   0.33168893  0.35322028  0.37934224]"
7,7.0,True,10.0,200.0,0.77,3.0,2.5,2.0,0.0,0.995,0.643531139566,"[ 0.64353114  0.59159668  0.56931479  0.58290881  0.57300014  0.58163752
  0.57046216  0.57297719  0.55938776  0.53462756]",0.388934566632,"[ 0.1217369   0.14561494  0.14799589  0.16002055  0.21959575  0.27447756
  0.30537855  0.32930798  0.35322028  0.37934224]"
8,8.0,True,10.0,200.0,0.77,5.0,2.5,2.0,0.0,0.995,0.631171692138,"[ 0.63117169  0.58788379  0.56683648  0.58042131  0.57423012  0.58039837
  0.569223    0.56926431  0.5581532   0.53215384]",0.388951695786,"[ 0.1217369   0.14561494  0.15039397  0.15524152  0.21481672  0.27446043
  0.30779376  0.33408702  0.35083933  0.3889517 ]"
9,9.0,True,10.0,200.0,0.77,4.5,2.5,2.0,0.0,0.995,0.633640827941,"[ 0.63364083  0.59036211  0.5693102   0.58166506  0.57423012  0.58163752
  0.56922759  0.57173803  0.5581532   0.53338841]",0.386553614251,"[ 0.1217369   0.14799589  0.15039397  0.1576396   0.21959575  0.27446043
  0.30779376  0.33406989  0.35322028  0.38415553]"
